Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values
58.1,209.3,M,,,,,,66.8,137.7,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.4,195.8,M,,,,,,148.5,65.5,L,,,,,,328.1,163.4,L,,,,
58.1,230.2,L,,,,,,66.8,143.1,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.1,10.1,L,,,,,,148.5,72.9,M,,,,,,328.1,214.7,M,,,,
58.4,105.2,M,,,,,,66.8,158,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.1,54,M,,,,,,148.5,90.5,M,,,,,,328.8,103.3,L,,,,
58.6,75.6,M,,,,,,66.8,195.1,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.1,105.3,S,,,,,,148.5,116.8,M,,,,,,329.5,73.6,S,,,,
58.6,141.4,M,,,,,,66.8,220.1,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.1,116.1,L,,,,,,148.5,182.3,L,,,,,,329.5,95.2,L,,,,
58.7,43.1,M,,,,,,66.8,226.9,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.1,121.5,M,,,,,,148.5,230.2,L,,,,,,329.5,119.5,M,,,,
58.7,52,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.1,191.1,L,,,,,,148.5,248.5,M,,,,,,329.5,126.3,L,,,,
58.7,65.5,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.7,4.1,M,,,,,,149.2,28.4,M,,,,,,329.5,229.6,M,,,,
58.7,71.6,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.7,31.1,M,,,,,,149.2,216.7,M,,,,,,330.2,147.9,M,,,,
58.7,84.4,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.7,110.7,M,,,,,,149.2,222.8,M,,,,,,330.2,154.6,L,,,,
58.7,86.9,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.7,137.7,L,,,,,,149.2,289,M,,,,,,330.2,223.5,L,,,,
58.7,111.4,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.7,176.2,S,,,,,,149.9,33.8,M,,,,,,330.8,261.3,M,,,,
58.7,138.4,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.7,208.6,M,,,,,,149.9,108.7,L,,,,,,331.5,83,L,,,,
58.7,189.7,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.4,16.9,L,,,,,,149.9,138.4,L,,,,,,332.2,65.5,M,,,,
58.7,212,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.4,83,L,,,,,,149.9,204.6,M,,,,,,332.2,170.8,M,,,,
58.8,61.9,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.4,155.3,M,,,,,,149.9,253.9,M,,,,,,332.9,29,L,,,,
58.9,38.2,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.4,169.5,M,,,,,,150.6,6.1,M,,,,,,332.9,45.2,M,,,,
59.2,95.3,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.4,185,L,,,,,,150.6,17.6,L,,,,,,332.9,51.3,L,,,,
59.2,134.5,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.4,200.5,M,,,,,,150.6,54,M,,,,,,332.9,237.7,M,,,,
59.3,162.5,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.1,142.5,L,,,,,,150.6,103.3,L,,,,,,332.9,287.6,M,,,,
59.3,215.3,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.1,165.4,M,,,,,,150.6,177.6,M,,,,,,333.5,251.8,NC,,,,
59.4,32.4,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.8,62.8,M,,,,,,150.6,210,L,,,,,,333.5,274.1,M,,,,
59.4,48.6,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.8,146.5,M,,,,,,151.2,122.2,M,,,,,,334.2,208.6,M,,,,
59.4,79,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.8,212.7,M,,,,,,151.2,153.9,M,,,,,,334.2,297.1,NC,,,,
59.4,99.9,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.4,27,M,,,,,,151.2,240.4,L,,,,,,334.9,20.9,L,,,,
59.4,123.6,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.4,41.2,L,,,,,,151.2,267.4,L,,,,,,334.9,36.5,M,,,,
59.4,168.1,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.4,49.3,M,,,,,,151.2,272.1,L,,,,,,334.9,110.7,M,,,,
59.4,173.5,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.4,56.7,L,,,,,,151.9,78.3,L,,,,,,334.9,133,L,,,,
59.4,198.5,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.4,68.2,L,,,,,,151.9,172.9,L,,,,,,334.9,183,L,,,,
59.4,218.1,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.4,92.5,M,,,,,,151.9,199.2,M,,,,,,335.6,91.2,S,,,,
59.6,132.1,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.4,96.6,L,,,,,,151.9,295.7,S,,,,,,335.6,268.1,L,,,,
59.9,26.9,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.4,101.3,M,,,,,,151.9,304.5,M,,,,,,336.9,122.9,M,,,,
60.1,10.1,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.4,125.6,M,,,,,,152.6,23.6,M,,,,,,336.9,189.7,M,,,,
60.1,24.3,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.4,180.3,L,,,,,,152.6,44.6,L,,,,,,336.9,197.8,L,,,,
60.1,59.9,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.4,220.1,L,,,,,,152.6,95.2,L,,,,,,337.6,244.4,M,,,,
60.1,81.7,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.1,21.6,M,,,,,,152.6,148.5,S,,,,,,338.3,78.3,L,,,,
60.1,89.8,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.1,36.5,L,,,,,,152.6,257.9,M,,,,,,338.3,226.2,L,,,,
60.1,108,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.1,87.8,L,,,,,,153.3,279.5,M,,,,,,338.9,70.9,L,,,,
60.1,126.3,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.1,134.4,L,,,,,,153.3,283.6,L,,,,,,338.9,141.1,L,,,,
60.1,129,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.8,114.1,S,,,,,,153.9,60.1,M,,,,,,338.9,218.8,L,,,,
60.1,147.2,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.5,13.5,M,,,,,,153.9,184.3,M,,,,,,339.6,57.4,M,,,,
60.1,181.6,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.5,72.9,M,,,,,,153.9,300.5,M,,,,,,339.6,233.6,M,,,,
60.1,195.1,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.5,79,M,,,,,,154.6,11.5,L,,,,,,341,212.7,M,,,,
60.6,150.2,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.5,161.4,L,,,,,,154.6,69.5,M,,,,,,341.7,50.6,S,,,,
60.6,186.9,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.5,195.8,L,,,,,,154.6,167.4,L,,,,,,341.7,106,L,,,,
60.8,13.5,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.5,203.9,L,,,,,,154.6,194.5,L,,,,,,341.7,149.9,S,,,,
60.8,20.9,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.1,45.2,L,,,,,,154.6,225.5,L,,,,,,341.7,162,L,,,,
60.8,40.1,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.1,118.2,L,,,,,,155.3,112.8,M,,,,,,341.7,301.1,NC,,,,
60.8,45.2,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.1,151.9,L,,,,,,155.3,129.6,S,,,,,,342.3,97.9,M,,,,
60.8,56.7,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.8,32.4,M,,,,,,155.3,135,M,,,,,,342.3,282.9,L,,,,
60.8,143.8,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.8,108,L,,,,,,155.3,159.3,L,,,,,,343,12.8,NC,,,,
60.8,153.3,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.8,129.6,L,,,,,,155.3,235.6,M,,,,,,343,44.6,L,,,,
60.8,202.6,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.8,171.5,M,,,,,,156,16.2,L,,,,,,343,174.2,M,,,,
60.8,222.1,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.5,3.4,M,,,,,,156,39.8,L,,,,,,343,273.5,S,,,,
60.8,225.5,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.5,64.8,L,,,,,,156,50,L,,,,,,343,294.4,M,,,,
61.2,157.2,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.5,104,L,,,,,,156,144.5,M,,,,,,343.7,114.8,M,,,,
61.2,165.4,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.5,186.4,L,,,,,,156,213.4,M,,,,,,343.7,258.6,S,,,,
61.2,170.9,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.5,214,M,,,,,,156,218.8,L,,,,,,344.4,186.4,S,,,,
61.3,103,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.2,26.3,M,,,,,,156.6,74.3,M,,,,,,344.4,203.2,L,,,,
61.4,16.9,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.2,54,M,,,,,,156.6,81,M,,,,,,345.7,5.4,M,,,,
61.4,53.3,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.2,60.8,M,,,,,,156.6,117.5,S,,,,,,345.7,65.5,L,,,,
61.4,70.2,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.2,123.6,L,,,,,,156.6,189.7,M,,,,,,345.7,91.8,L,,,,
61.4,72.2,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.2,141.8,L,,,,,,156.6,202.6,M,,,,,,345.7,239.7,L,,,,
61.4,84.2,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.2,156.6,M,,,,,,157.3,2.7,L,,,,,,346.4,29.7,M,,,,
61.4,92.6,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.2,191.1,M,,,,,,157.3,35.1,L,,,,,,346.4,122.9,M,,,,
61.4,117.5,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.9,18.9,M,,,,,,157.3,99.9,L,,,,,,347.1,20.9,M,,,,
61.4,140.4,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.9,83.7,L,,,,,,157.3,124.9,M,,,,,,347.1,194.5,L,,,,
61.4,176.2,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.9,99.3,L,,,,,,157.3,174.9,L,,,,,,347.1,249.1,L,,,,
61.4,192.4,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.5,91.2,M,,,,,,157.3,179.6,M,,,,,,347.7,35.8,M,,,,
61.4,206.6,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.5,178.3,L,,,,,,157.3,208,L,,,,,,347.7,266.7,L,,,,
61.4,228.9,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.5,207.3,L,,,,,,157.3,245.8,S,,,,,,348.4,83.7,L,,,,
61.4,232.9,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.5,218.8,M,,,,,,157.3,260.6,L,,,,,,348.4,156,M,,,,
61.7,63.7,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.2,37.8,L,,,,,,157.3,289.7,M,,,,,,348.4,168.1,S,,,,
61.7,159.7,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.2,162,M,,,,,,158,29.7,M,,,,,,349.1,75.6,L,,,,
61.9,50.3,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.2,166.1,M,,,,,,158,89.8,M,,,,,,349.1,138.4,L,,,,
61.9,66.2,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.9,42.5,L,,,,,,158,106,L,,,,,,349.1,179.6,L,,,,
62.1,3.4,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.9,49.3,M,,,,,,158,230.9,M,,,,,,349.8,230.9,M,,,,
62.1,29.7,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.9,76.3,M,,,,,,158,252.5,L,,,,,,349.8,276.2,M,,,,
62.1,34.3,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.9,146.5,M,,,,,,158.7,22.3,M,,,,,,349.8,287.6,NC,,,,
62.1,37.1,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.9,182.3,M,,,,,,158.7,65.5,M,,,,,,350.4,224.2,L,,,,
62.1,76.3,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.9,199.2,M,,,,,,158.7,268.1,L,,,,,,351.1,50,M,,,,
62.1,87.1,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.6,23,L,,,,,,158.7,295.7,NC,,,,,,351.1,58.7,L,,,,
62.1,105.3,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.6,30.4,M,,,,,,159.3,94.5,M,,,,,,351.1,147.2,L,,,,
62.1,130.3,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.6,70.9,M,,,,,,159.3,280.2,M,,,,,,351.1,299.1,M,,,,
62.1,133.6,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.6,95.9,S,,,,,,159.3,301.1,M,,,,,,351.8,208.6,S,,,,
62.1,137.1,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.6,111.4,L,,,,,,160,55.4,L,,,,,,352.5,105.3,L,,,,
62.1,210,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.6,126.3,L,,,,,,160,151.2,L,,,,,,352.5,131,L,,,,
62.1,235.6,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.2,14.2,M,,,,,,160,163.4,M,,,,,,353.1,42.5,L,,,,
62.3,184,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.2,81,L,,,,,,160,197.8,M,,,,,,353.1,68.9,L,,,,
62.3,188.9,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.2,133,M,,,,,,160,240.4,M,,,,,,353.1,95.9,L,,,,
62.7,100.4,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.2,138.4,L,,,,,,160,275.5,L,,,,,,353.1,114.1,L,,,,
62.8,110.1,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.2,187.7,L,,,,,,160.7,44.6,L,,,,,,353.1,187,M,,,,
62.8,112.1,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.9,7.4,M,,,,,,160.7,110.1,L,,,,,,353.1,255.2,L,,,,
62.8,126.9,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.9,58.1,M,,,,,,160.7,146.5,L,,,,,,353.8,201.9,M,,,,
62.8,162.7,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.9,151.2,M,,,,,,161.4,84.4,M,,,,,,354.5,173.5,M,,,,
62.8,168.1,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.6,104,L,,,,,,161.4,156.6,M,,,,,,354.5,246.4,L,,,,
62.8,197.2,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.6,115.5,M,,,,,,161.4,183,M,,,,,,355.8,16.9,L,,,,
62.8,216.1,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.6,170.1,M,,,,,,161.4,223.5,M,,,,,,355.8,85.8,M,,,,
63,114.3,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.6,203.9,M,,,,,,161.4,286.3,M,,,,,,355.8,268.7,M,,,,
63,124.7,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.6,211.3,M,,,,,,162,7.4,M,,,,,,356.5,23.6,M,,,,
63.1,213.8,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.3,34.4,M,,,,,,162,60.1,L,,,,,,356.5,292.4,L,,,,
63.3,47.1,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.3,87.8,L,,,,,,162,139.8,M,,,,,,357.2,9.5,M,,,,
63.3,79.1,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.3,158,S,,,,,,162,169.5,M,,,,,,357.2,121.5,M,,,,
63.5,89.8,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.3,175.6,L,,,,,,162,193.8,L,,,,,,357.2,158,L,,,,
63.5,95.9,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.9,18.2,L,,,,,,162.7,2.7,L,,,,,,357.2,194.5,M,,,,
63.5,147.9,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.9,45.9,L,,,,,,162.7,12.8,M,,,,,,357.2,214.7,M,,,,
63.5,151.2,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.9,53.3,M,,,,,,162.7,33.1,M,,,,,,357.9,35.1,S,,,,
63.5,154.6,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.9,66.8,L,,,,,,162.7,50,M,,,,,,357.9,165.4,L,,,,
63.5,173.5,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.9,122.9,M,,,,,,162.7,129,L,,,,,,358.5,135.7,M,,,,
63.5,186.4,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179,194,M,,,,,,162.7,187.7,M,,,,,,358.5,262,NC,,,,
63.6,201,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.6,38.5,L,,,,,,162.7,211.3,M,,,,,,359.2,63.5,M,,,,
63.7,178.4,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.6,143.8,L,,,,,,162.7,216.1,S,,,,,,359.2,280.9,M,,,,
64.1,12.2,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.6,216.1,S,,,,,,162.7,228.2,M,,,,,,359.2,300.5,NC,,,,
64.1,14.9,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.3,27,M,,,,,,162.7,248.5,L,,,,,,359.9,142.5,M,,,,
64.1,18.2,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.3,61.4,M,,,,,,162.7,256.6,M,,,,,,359.9,150.6,M,,,,
64.1,26.3,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.3,108,L,,,,,,163.4,89.1,L,,,,,,360.6,92.5,S,,,,
64.1,32.4,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181,72.9,M,,,,,,163.4,134.4,L,,,,,,360.6,231.6,M,,,,
64.1,42.5,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181,91.8,L,,,,,,163.4,262,M,,,,,,361.2,49.3,L,,,,
64.1,55.4,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181,98.6,M,,,,,,164.1,70.2,L,,,,,,361.2,56,L,,,,
64.1,58.1,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181,164.1,M,,,,,,164.1,76.3,L,,,,,,361.2,128.3,L,,,,
64.1,61.4,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181,179.6,M,,,,,,164.1,116.8,L,,,,,,361.2,181,L,,,,
64.1,64.8,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181,197.8,L,,,,,,164.1,269.4,M,,,,,,361.2,240.4,M,,,,
64.1,81.7,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.6,83.7,L,,,,,,164.1,291,L,,,,,,361.9,222.8,M,,,,
64.1,118.8,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.6,130.3,M,,,,,,164.7,19.6,M,,,,,,362.6,78.3,L,,,,
64.1,143.1,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.6,148.5,M,,,,,,164.7,27.7,M,,,,,,363.3,102,L,,,,
64.1,203.9,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.6,153.3,M,,,,,,164.7,97.9,L,,,,,,363.3,117.5,M,,,,
64.1,219.4,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.6,185,M,,,,,,164.7,102.6,L,,,,,,363.9,27.7,L,,,,
64.1,222.8,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.3,9.5,L,,,,,,164.7,122.2,M,,,,,,363.9,39.8,M,,,,
64.5,23.1,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.3,22.3,M,,,,,,164.7,173.5,L,,,,,,363.9,209.3,L,,,,
64.5,107.8,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.3,77.6,M,,,,,,164.7,178.3,M,,,,,,363.9,246.4,S,,,,
64.6,181.3,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.3,136.4,L,,,,,,165.4,32.4,M,,,,,,363.9,252.5,L,,,,
64.7,39.6,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.3,205.9,L,,,,,,165.4,39.2,M,,,,,,365.3,110.1,M,,,,
64.8,8.1,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183,4.1,M,,,,,,165.4,232.9,L,,,,,,365.3,191.1,L,,,,
64.8,52,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183,14.2,M,,,,,,165.4,239,M,,,,,,365.3,201.9,L,,,,
64.8,68.2,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183,58.1,M,,,,,,166.1,143.1,L,,,,,,365.3,276.2,M,,,,
64.8,84.4,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183,104,M,,,,,,166.1,165.4,L,,,,,,365.3,294.4,S,,,,
64.8,102.6,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183,112.8,L,,,,,,166.1,296.4,NC,,,,,,366,70.9,M,,,,
64.8,231.6,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183,141.1,M,,,,,,166.1,304.5,S,,,,,,366,132.3,M,,,,
65,97.9,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183,169.5,M,,,,,,166.8,63.5,L,,,,,,366,169.5,M,,,,
65.2,20.5,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183,219.4,M,,,,,,166.8,160.7,M,,,,,,366,267.4,M,,,,
65.2,194.6,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.7,31.7,M,,,,,,166.8,206.6,S,,,,,,,,,,,,
65.5,4.7,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.7,116.8,M,,,,,,166.8,251.2,M,,,,,,,,,,,,
65.5,35.8,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.7,175.6,L,,,,,,166.8,279.5,M,,,,,,,,,,,,
65.5,73.6,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.7,190.4,S,,,,,,167.4,82.4,L,,,,,,,,,,,,
65.5,133.7,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.3,45.2,M,,,,,,168.1,8.8,M,,,,,,,,,,,,
65.5,137.7,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.3,160,M,,,,,,168.1,14.9,M,,,,,,,,,,,,
65.5,165.4,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185,35.8,M,,,,,,168.1,45.2,M,,,,,,,,,,,,
65.5,170.8,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185,50.6,L,,,,,,168.1,56,M,,,,,,,,,,,,
65.5,188.4,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185,62.1,L,,,,,,168.1,93.2,M,,,,,,,,,,,,
65.5,191.8,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185,68.2,L,,,,,,168.1,107.4,M,,,,,,,,,,,,
65.5,207.3,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185,87.8,L,,,,,,168.1,150.6,M,,,,,,,,,,,,
65.5,228.2,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185,95.9,L,,,,,,168.1,184.3,M,,,,,,,,,,,,
