Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values
12.4,116.3,L,,,,,,15.5,163.5,M,,,,,,18.6,45.7,S,,,,,,22.3,99.3,L,,,,,,28.5,224.1,L,,,,,,51.2,103.1,M,,,,,,64.1,204.2,L,,,,,,16.2,172.4,M,,,,,,18.3,55.6,M,,,,,,19.4,151.1,L,,,,,,35.7,205.4,M,,,,,,71.3,144.9,M,,,,,,38.7,32.4,L,,,,,,47.1,30.2,M,,,,,,51.4,55.6,M,,,,,,28.7,106.2,L,,,,,,46.5,282.1,L,,,,,,52.2,319.6,L,,,,,,39.4,2.1,L,,,,,,45,26,L,,,,,,50.7,26.7,L,,,,,,20.2,131.8,L,,,,,,73.6,139.5,L,,,,
12.4,124,L,,,,,,15.5,174.9,M,,,,,,18.6,51.2,M,,,,,,22.3,116.3,M,,,,,,28.5,231,L,,,,,,51.9,70.5,L,,,,,,64.4,64,L,,,,,,16.7,26.2,L,,,,,,18.3,77.4,L,,,,,,19.4,159.7,L,,,,,,35.7,265.8,L,,,,,,71.3,177.5,L,,,,,,38.7,57,M,,,,,,47.2,40,L,,,,,,51.4,62.6,M,,,,,,28.7,121.7,L,,,,,,47.3,187.6,L,,,,,,52.7,212.5,S,,,,,,39.4,24.6,L,,,,,,45,60.5,L,,,,,,50.7,61.9,M,,,,,,20.2,182.9,M,,,,,,74.4,57.4,M,,,,
12.4,153.5,M,,,,,,15.7,31.3,M,,,,,,18.6,62.8,L,,,,,,23.1,16.9,M,,,,,,28.5,294.2,M,,,,,,51.9,117,L,,,,,,64.9,6.6,L,,,,,,16.7,32.1,L,,,,,,18.3,97.8,L,,,,,,19.4,178.3,M,,,,,,36.4,54.3,L,,,,,,72.1,189.1,S,,,,,,39.6,48.8,L,,,,,,47.8,2.8,L,,,,,,52.1,28.1,M,,,,,,28.7,144.2,L,,,,,,48.1,103.1,L,,,,,,52.7,300.1,M,,,,,,39.4,41.5,L,,,,,,45.7,42.2,M,,,,,,51.4,11.3,S,,,,,,20.2,211.6,M,,,,,,74.4,111.6,M,,,,
13,165.7,M,,,,,,15.7,74.4,L,,,,,,18.6,91.5,L,,,,,,23.1,30,M,,,,,,28.5,321.1,L,,,,,,51.9,171.3,L,,,,,,64.9,53.9,L,,,,,,16.9,16.9,M,,,,,,18.3,117.5,L,,,,,,19.4,194.5,L,,,,,,36.4,186,L,,,,,,72.9,110.8,L,,,,,,40.1,28.1,L,,,,,,47.8,61.2,L,,,,,,52.1,69.6,L,,,,,,28.7,149.6,M,,,,,,48.1,179,L,,,,,,53.5,159.1,M,,,,,,39.4,44.3,L,,,,,,45.7,68.2,M,,,,,,51.4,31,L,,,,,,20.9,14.7,L,,,,,,76,20.2,M,,,,
13.2,13.2,M,,,,,,15.8,55.5,S,,,,,,18.6,138.7,M,,,,,,23.1,38.5,L,,,,,,28.8,314.6,L,,,,,,52.7,17.1,M,,,,,,65.9,79.1,L,,,,,,16.9,38,M,,,,,,18.3,163.2,L,,,,,,20.2,41.9,L,,,,,,36.4,213.1,M,,,,,,72.9,251.9,L,,,,,,40.1,41.5,L,,,,,,47.8,64.7,L,,,,,,52.8,12,M,,,,,,28.7,165.9,L,,,,,,48.1,264.3,L,,,,,,53.5,204.2,L,,,,,,39.4,62.6,L,,,,,,46.4,8.4,M,,,,,,52.8,6.3,M,,,,,,20.9,41.1,M,,,,,,76,85.3,L,,,,
13.2,23.3,L,,,,,,16,24.2,M,,,,,,18.6,162.8,M,,,,,,23.1,59.3,L,,,,,,29.3,164,L,,,,,,52.7,186,M,,,,,,65.9,244.1,M,,,,,,16.9,47.1,L,,,,,,19,8.4,L,,,,,,20.2,55.8,S,,,,,,36.4,279,L,,,,,,73.7,33.1,NC,,,,,,40.1,45,L,,,,,,47.9,54.7,L,,,,,,52.8,49.2,M,,,,,,28.7,231,L,,,,,,48.1,289.9,L,,,,,,54,111,S,,,,,,39.4,66.8,M,,,,,,46.4,38.7,L,,,,,,52.8,47.8,L,,,,,,20.9,58.1,L,,,,,,76.7,43.4,L,,,,
13.2,76,L,,,,,,16.3,34.9,L,,,,,,19.4,14,M,,,,,,23.1,83.2,M,,,,,,29.3,180.2,L,,,,,,52.7,193.8,L,,,,,,65.9,315.4,L,,,,,,16.9,50.7,L,,,,,,19,30.2,M,,,,,,20.2,63.6,L,,,,,,37.2,123.2,L,,,,,,74.4,233.3,L,,,,,,40.1,66.8,L,,,,,,48.5,6.3,L,,,,,,52.8,59.1,L,,,,,,28.7,279.8,L,,,,,,49.6,31.8,M,,,,,,54.8,97.9,M,,,,,,40.1,14.8,L,,,,,,46.4,56.3,M,,,,,,53.5,40.8,M,,,,,,20.9,82.2,L,,,,,,76.7,94.6,M,,,,
13.2,87.6,M,,,,,,16.3,39.5,L,,,,,,19.4,21.7,L,,,,,,23.1,103.2,L,,,,,,29.3,189.4,L,,,,,,52.7,253.4,M,,,,,,66.7,168.2,L,,,,,,16.9,54.2,L,,,,,,19,34.5,M,,,,,,20.2,84.5,L,,,,,,37.2,234.1,S,,,,,,74.8,81.7,L,,,,,,40.7,60.9,L,,,,,,48.5,42.9,L,,,,,,53.5,21.1,L,,,,,,29.5,46.5,L,,,,,,50.4,18.6,M,,,,,,55.3,289.7,M,,,,,,40.1,31.7,L,,,,,,47.1,22.5,M,,,,,,53.5,65.4,M,,,,,,20.9,112.4,L,,,,,,77.5,121.7,M,,,,
13.2,96.3,L,,,,,,16.3,42.6,M,,,,,,19.4,73.6,M,,,,,,23.1,150.2,M,,,,,,29.3,248,S,,,,,,53.5,47.3,L,,,,,,66.7,185.2,L,,,,,,16.9,84.4,M,,,,,,19,84.4,S,,,,,,20.2,168.2,L,,,,,,37.2,247.2,M,,,,,,75.2,120.9,M,,,,,,40.8,16.9,L,,,,,,48.5,69.6,L,,,,,,53.5,66.1,S,,,,,,29.5,70.5,L,,,,,,50.4,169,L,,,,,,55.7,230.7,L,,,,,,40.2,8.4,L,,,,,,47.1,31,L,,,,,,54.2,2.8,L,,,,,,20.9,125.6,L,,,,,,77.5,159.7,M,,,,
13.2,146.5,L,,,,,,16.3,47.3,M,,,,,,19.4,80.6,L,,,,,,23.1,182.5,L,,,,,,29.3,265.7,L,,,,,,53.5,156.6,L,,,,,,67,295.4,L,,,,,,16.9,87.2,L,,,,,,19,102,L,,,,,,20.2,200,M,,,,,,38,110.1,L,,,,,,75.2,128.7,L,,,,,,40.9,4.8,L,,,,,,49.2,50.7,S,,,,,,54.2,8.4,M,,,,,,29.5,112.4,L,,,,,,50.4,255.8,L,,,,,,55.7,310.1,L,,,,,,40.8,49.2,L,,,,,,47.1,35.2,L,,,,,,54.2,52.1,S,,,,,,21.7,7,L,,,,,,77.5,178.3,L,,,,
13.2,150.7,M,,,,,,16.3,50.4,L,,,,,,19.4,102.3,M,,,,,,23.9,71.6,L,,,,,,30,47,L,,,,,,54.3,76,L,,,,,,67.4,160.4,L,,,,,,16.9,101.3,M,,,,,,19,137.2,M,,,,,,20.9,11.6,M,,,,,,38,130.2,M,,,,,,75.2,161.2,L,,,,,,41.5,35.9,M,,,,,,49.9,14.1,L,,,,,,54.2,52.1,L,,,,,,29.5,250.3,L,,,,,,51.2,82.9,L,,,,,,56.1,77.6,L,,,,,,41.4,11.4,M,,,,,,47.1,52.8,L,,,,,,54.9,16.9,L,,,,,,21.7,33.3,L,,,,,,78.3,148,L,,,,
13.2,162,M,,,,,,16.3,58.1,M,,,,,,19.4,105.4,L,,,,,,23.9,90.9,M,,,,,,30,75.5,L,,,,,,54.3,247.2,L,,,,,,68.2,42.6,L,,,,,,16.9,112.6,L,,,,,,19,144.2,L,,,,,,20.9,20.9,L,,,,,,38.8,59.7,M,,,,,,75.2,201.9,L,,,,,,41.5,51.4,S,,,,,,49.9,20.4,L,,,,,,55.6,2.8,L,,,,,,29.5,268.9,M,,,,,,51.6,200.8,M,,,,,,56.1,145.2,L,,,,,,41.5,21.8,M,,,,,,47.8,18.3,L,,,,,,54.9,21.1,L,,,,,,21.7,76.7,L,,,,,,78.3,199.2,L,,,,
13.2,182.1,L,,,,,,16.3,80.9,M,,,,,,19.4,148,M,,,,,,23.9,112.4,L,,,,,,30,126.3,M,,,,,,55,206.9,L,,,,,,68.2,89.9,L,,,,,,16.9,122.4,M,,,,,,19,175.2,M,,,,,,20.9,98.4,M,,,,,,38.8,117,L,,,,,,77.5,41.1,L,,,,,,42,55.6,M,,,,,,49.9,26.7,M,,,,,,55.6,23.9,M,,,,,,29.5,298.4,L,,,,,,51.9,10.9,L,,,,,,56.1,145.2,L,,,,,,41.5,52.8,L,,,,,,48.5,16.2,L,,,,,,54.9,24.6,L,,,,,,21.7,162,L,,,,,,79.1,4.7,L,,,,
13.2,189.9,L,,,,,,16.3,134.1,L,,,,,,19.4,166.6,L,,,,,,23.9,122.4,L,,,,,,30,153.3,L,,,,,,55,286.8,L,,,,,,69.5,35.8,S,,,,,,16.9,141.4,L,,,,,,19.1,51.1,M,,,,,,20.9,103.1,M,,,,,,38.8,259.6,L,,,,,,77.5,62,L,,,,,,42.2,8.4,L,,,,,,49.9,33.8,M,,,,,,55.6,38.7,L,,,,,,30.2,17.8,L,,,,,,51.9,126.3,L,,,,,,56.1,195.1,L,,,,,,42.2,5.6,M,,,,,,48.5,49.2,M,,,,,,54.9,27.4,L,,,,,,21.7,234.1,L,,,,,,79.1,32.6,L,,,,
13.2,192.2,L,,,,,,16.3,151.9,M,,,,,,19.4,179,L,,,,,,23.9,143.2,M,,,,,,30,209.5,L,,,,,,55.8,141.1,M,,,,,,69.6,211.4,L,,,,,,17.4,3.4,L,,,,,,19.7,12.7,S,,,,,,20.9,112.4,L,,,,,,39.4,142,L,,,,,,78.3,20.2,L,,,,,,42.2,11.3,L,,,,,,50.7,46.4,L,,,,,,56.3,16.2,L,,,,,,30.2,187.6,L,,,,,,51.9,241,L,,,,,,56.6,181.7,L,,,,,,42.2,28.1,S,,,,,,48.5,62.6,L,,,,,,54.9,33.8,M,,,,,,22.5,24,M,,,,,,79.1,129.4,L,,,,
13.3,34.9,L,,,,,,16.3,171.3,L,,,,,,19.4,193,M,,,,,,24.6,67,L,,,,,,30,276.5,L,,,,,,55.8,148.8,L,,,,,,69.8,109.3,L,,,,,,17.6,6.3,L,,,,,,19.7,23.2,L,,,,,,20.9,140.3,M,,,,,,39.4,227.7,S,,,,,,78.3,103.1,L,,,,,,42.2,32.4,M,,,,,,50.7,57.7,L,,,,,,56.3,42.2,M,,,,,,30.2,241.8,L,,,,,,51.9,274.4,M,,,,,,56.6,218.1,L,,,,,,42.3,34.9,L,,,,,,49.2,45,L,,,,,,55.6,13.4,M,,,,,,22.5,62.8,L,,,,,,79.1,218.6,M,,,,
13.3,120.1,M,,,,,,17.1,19.4,L,,,,,,19.5,127.1,L,,,,,,24.6,130.2,L,,,,,,30.8,9.2,L,,,,,,55.8,222.4,L,,,,,,69.8,127.1,L,,,,,,17.6,19.7,M,,,,,,19.7,38,M,,,,,,20.9,172.8,M,,,,,,39.5,44.2,L,,,,,,79.1,5.4,M,,,,,,42.8,64.3,L,,,,,,51.4,37.3,M,,,,,,56.3,46.4,L,,,,,,30.2,286,L,,,,,,52.7,94.6,L,,,,,,56.6,250.6,L,,,,,,42.7,39.5,L,,,,,,49.2,65.4,L,,,,,,55.6,44.3,L,,,,,,22.5,71.3,L,,,,,,80.6,63.6,L,,,,
13.8,185.9,M,,,,,,17.1,103.1,L,,,,,,20.2,39.5,M,,,,,,24.6,134.8,L,,,,,,30.8,53.9,L,,,,,,56.6,25.6,M,,,,,,70.5,228.6,S,,,,,,17.6,132.3,M,,,,,,19.7,66.1,M,,,,,,21.7,3.9,L,,,,,,39.5,75.2,L,,,,,,79.1,154.2,L,,,,,,43,21.2,L,,,,,,52.1,3.5,L,,,,,,56.3,62.6,M,,,,,,31,76,NC,,,,,,52.7,142.6,M,,,,,,56.6,259.3,M,,,,,,42.9,18.3,S,,,,,,49.7,27.7,L,,,,,,55.6,56.3,L,,,,,,22.5,91.5,L,,,,,,80.6,103.9,L,,,,
14,3.9,L,,,,,,17.1,138,L,,,,,,20.2,66.7,L,,,,,,24.6,165.6,L,,,,,,30.8,169.4,M,,,,,,56.6,185.2,M,,,,,,70.5,272.1,M,,,,,,17.6,147.7,M,,,,,,19.7,105.5,L,,,,,,21.7,29.5,L,,,,,,39.5,272.8,L,,,,,,80.6,52.3,NC,,,,,,43.6,24.6,L,,,,,,52.1,64,M,,,,,,57,56.3,L,,,,,,31,157.3,L,,,,,,53.5,74.4,L,,,,,,56.6,259.3,M,,,,,,42.9,56.3,M,,,,,,49.9,7,L,,,,,,55.6,60.5,M,,,,,,22.5,99.2,L,,,,,,80.6,206.9,L,,,,
14,19.4,M,,,,,,17.1,165.9,L,,,,,,20.2,87.6,L,,,,,,25.4,5.4,L,,,,,,30.8,254.9,L,,,,,,56.6,213.1,L,,,,,,71.7,283.1,L,,,,,,18.3,34.5,L,,,,,,19.7,124.5,L,,,,,,21.7,75.2,M,,,,,,40.3,192.2,L,,,,,,80.6,136.4,S,,,,,,43.6,39.4,M,,,,,,52.1,66.8,M,,,,,,57.7,19.7,M,,,,,,31,210,M,,,,,,53.5,116.3,L,,,,,,58.7,19.9,M,,,,,,43.6,14.1,M,,,,,,49.9,59.1,M,,,,,,56.3,37.3,L,,,,,,22.5,104.6,L,,,,,,81.4,138,L,,,,
14,40.3,L,,,,,,17.8,8.5,L,,,,,,20.2,113.2,M,,,,,,25.4,13.1,S,,,,,,30.8,328.1,L,,,,,,57.4,110.8,L,,,,,,72.1,18.6,L,,,,,,18.3,64.3,M,,,,,,19.7,129.4,L,,,,,,21.7,107.7,M,,,,,,40.3,198.4,L,,,,,,80.6,219.3,L,,,,,,43.6,58.4,M,,,,,,52.1,69.6,L,,,,,,57.7,59.8,M,,,,,,31,224.8,M,,,,,,53.5,159.7,S,,,,,,58.7,241.5,L,,,,,,43.6,42.2,M,,,,,,50.4,10.3,M,,,,,,57,9.1,M,,,,,,22.5,146.5,L,,,,,,81.4,186.8,L,,,,
14,79.8,L,,,,,,17.8,12.4,L,,,,,,20.2,120.1,L,,,,,,25.4,42.4,L,,,,,,31.4,297.6,L,,,,,,57.4,268.9,S,,,,,,72.1,219.3,M,,,,,,18.3,106.2,L,,,,,,19.7,152,L,,,,,,21.7,128.7,L,,,,,,41.1,7,L,,,,,,80.6,246.5,L,,,,,,44.3,2.1,S,,,,,,52.8,10.6,M,,,,,,57.7,69.6,L,,,,,,31,290.6,L,,,,,,53.5,231,L,,,,,,59.2,133.5,L,,,,,,43.6,60.5,L,,,,,,50.7,24.6,L,,,,,,57,68.9,L,,,,,,22.5,167.4,M,,,,,,82.2,167.4,L,,,,
14,93,L,,,,,,17.8,27.1,L,,,,,,20.2,151.1,M,,,,,,25.4,50.8,L,,,,,,31.6,174.8,L,,,,,,58.1,153.5,L,,,,,,72.9,9.3,S,,,,,,18.3,116.1,L,,,,,,19.7,159,M,,,,,,21.7,210,S,,,,,,41.1,17.8,S,,,,,,81.4,170.5,M,,,,,,44.3,15.5,L,,,,,,52.8,40.1,M,,,,,,57.8,11.8,L,,,,,,31.8,197.6,L,,,,,,54.3,181.4,L,,,,,,59.2,171.3,M,,,,,,43.6,64.7,M,,,,,,50.7,38,L,,,,,,57.7,30.2,L,,,,,,22.5,189.9,M,,,,,,82.9,38.8,L,,,,
14,99.2,L,,,,,,17.8,68.2,M,,,,,,20.9,17.8,S,,,,,,25.4,95.5,L,,,,,,31.6,197.2,L,,,,,,58.1,231.7,L,,,,,,72.9,136.4,S,,,,,,18.3,125.9,M,,,,,,20.3,73.9,M,,,,,,21.7,237.9,M,,,,,,41.1,29.5,L,,,,,,81.4,184.5,M,,,,,,44.3,42.9,L,,,,,,52.8,53.5,M,,,,,,59.1,52.8,L,,,,,,32.6,178.3,S,,,,,,54.3,223.2,L,,,,,,59.2,281.4,L,,,,,,44.3,9.8,L,,,,,,50.7,69.6,L,,,,,,57.7,64.7,L,,,,,,22.5,221.7,M,,,,,,82.9,49.6,M,,,,
14,130.2,M,,,,,,17.8,77.5,M,,,,,,20.9,77.5,M,,,,,,25.4,157.1,L,,,,,,31.6,281.9,L,,,,,,58.9,40.3,L,,,,,,72.9,194.5,L,,,,,,18.3,137.9,L,,,,,,20.4,147,L,,,,,,22.5,50.4,M,,,,,,41.1,89.1,L,,,,,,81.4,238.7,L,,,,,,45,5.6,L,,,,,,53,23.8,M,,,,,,59.8,7,M,,,,,,32.6,237.2,L,,,,,,54.3,289.1,L,,,,,,60,320.5,L,,,,,,44.3,24.6,L,,,,,,51.4,2.1,L,,,,,,58.4,4.9,L,,,,,,22.5,228.6,M,,,,,,84.5,12.4,L,,,,
14,138.7,L,,,,,,17.8,95.3,S,,,,,,20.9,116.3,L,,,,,,25.4,161,S,,,,,,32.3,21.6,M,,,,,,59.7,8.5,L,,,,,,72.9,306.1,L,,,,,,18.3,161.8,L,,,,,,20.4,170.2,L,,,,,,22.5,60.5,L,,,,,,41.9,103.1,M,,,,,,82.2,88.4,L,,,,,,45,19,L,,,,,,53,30.2,M,,,,,,59.8,48.5,L,,,,,,32.6,257.3,M,,,,,,55,45,M,,,,,,60.5,120.1,M,,,,,,44.3,45.7,L,,,,,,51.4,33.8,L,,,,,,58.4,47.8,M,,,,,,22.5,240.3,L,,,,,,84.5,86.8,L,,,,
14,158.9,L,,,,,,17.8,99.2,M,,,,,,20.9,134.1,M,,,,,,25.4,178.7,S,,,,,,32.3,135.5,L,,,,,,59.7,95.3,L,,,,,,73,263.5,L,,,,,,18.3,166.7,L,,,,,,21.1,80.2,M,,,,,,22.5,93,M,,,,,,41.9,169,L,,,,,,82.2,117,S,,,,,,45,28.1,L,,,,,,53.3,16.9,L,,,,,,59.8,66.1,M,,,,,,32.6,262.7,L,,,,,,55.8,58.9,M,,,,,,60.9,300.1,L,,,,,,44.3,68.9,L,,,,,,51.4,41.5,L,,,,,,59.1,42.2,L,,,,,,23.3,11.6,L,,,,,,84.5,112.4,L,,,,
14,175.2,L,,,,,,17.8,107,M,,,,,,20.9,172.1,L,,,,,,26.2,63.1,M,,,,,,32.3,218.7,L,,,,,,59.7,165.1,M,,,,,,74.4,147.3,M,,,,,,19,12.7,L,,,,,,21.1,91.5,L,,,,,,22.5,119.4,L,,,,,,42.6,66.7,L,,,,,,82.2,144.9,M,,,,,,45,61.9,M,,,,,,53.3,60.6,L,,,,,,60.5,27.4,L,,,,,,33.3,24,L,,,,,,55.8,106.2,L,,,,,,61.3,6.4,L,,,,,,45,49.9,L,,,,,,51.4,54.9,L,,,,,,59.8,26.7,L,,,,,,23.3,45.7,M,,,,,,84.5,157.3,L,,,,
14,178.3,S,,,,,,17.8,111,L,,,,,,20.9,182.9,L,,,,,,26.2,75.5,L,,,,,,32.3,242.6,L,,,,,,60.5,79.1,L,,,,,,75.5,100.9,L,,,,,,19,22.5,L,,,,,,21.1,110.4,L,,,,,,22.5,124.8,L,,,,,,42.6,241,L,,,,,,82.2,209.3,NC,,,,,,45,64,M,,,,,,54.2,7,M,,,,,,60.5,33.1,L,,,,,,33.3,38,M,,,,,,55.8,149.6,M,,,,,,61.3,6.4,L,,,,,,45.2,32.8,M,,,,,,52.8,51.4,L,,,,,,59.8,52.8,L,,,,,,23.3,67.4,L,,,,,,85.3,20.9,L,,,,
14.4,72.4,L,,,,,,17.8,127.1,L,,,,,,20.9,186.8,L,,,,,,26.2,79.3,M,,,,,,32.3,261.1,L,,,,,,60.5,178.3,M,,,,,,75.6,25.3,L,,,,,,19,28.8,M,,,,,,21.1,140.7,L,,,,,,22.5,156.6,L,,,,,,43.4,11.6,L,,,,,,82.2,260.4,L,,,,,,45,67.5,M,,,,,,54.2,43.6,M,,,,,,60.5,35.9,S,,,,,,33.3,89.9,M,,,,,,56.6,134.9,L,,,,,,61.3,88.4,L,,,,,,45.7,2.1,L,,,,,,53.5,17.6,L,,,,,,60.5,15.5,L,,,,,,23.3,177.5,L,,,,,,86,144.2,L,,,,
14.6,84.6,L,,,,,,17.8,141.8,M,,,,,,21.7,10.9,L,,,,,,26.2,87,L,,,,,,32.3,270.3,L,,,,,,60.5,253.4,M,,,,,,75.6,202.5,L,,,,,,19,44.3,L,,,,,,21.2,87.8,L,,,,,,22.5,186.8,L,,,,,,43.4,37.2,L,,,,,,83.7,193,L,,,,,,45.7,46.4,L,,,,,,54.2,50.7,L,,,,,,60.5,44.3,L,,,,,,33.3,118.6,L,,,,,,56.6,166.6,M,,,,,,61.3,330,L,,,,,,45.7,54.2,L,,,,,,53.5,20.4,M,,,,,,60.5,20.4,L,,,,,,24,19.4,L,,,,,,86,178.3,L,,,,
14.7,7.3,S,,,,,,17.8,156.6,M,,,,,,21.7,25.6,L,,,,,,26.2,118.6,M,,,,,,32.3,304.2,M,,,,,,60.5,260.4,L,,,,,,75.6,252.5,L,,,,,,19,71.9,M,,,,,,21.8,4.9,L,,,,,,23.3,7.8,L,,,,,,43.4,160.4,L,,,,,,85.3,33.3,L,,,,,,45.7,52.8,M,,,,,,54.9,20.4,L,,,,,,61.2,40.1,L,,,,,,33.3,133.3,L,,,,,,57.4,65.9,M,,,,,,61.8,273.2,M,,,,,,46.4,38,L,,,,,,53.5,30.2,L,,,,,,60.5,33.8,L,,,,,,24,29.5,L,,,,,,86,211.6,L,,,,
14.7,16.3,M,,,,,,17.8,178.3,L,,,,,,21.7,43.4,M,,,,,,26.2,186.4,L,,,,,,33.1,59.3,L,,,,,,60.5,277.5,L,,,,,,76.4,61.5,L,,,,,,19,118.9,M,,,,,,21.8,16.9,L,,,,,,23.3,16.3,L,,,,,,43.4,179,L,,,,,,85.3,107.7,L,,,,,,46.4,34.3,L,,,,,,54.9,33.8,L,,,,,,61.2,62.6,L,,,,,,33.3,218.6,S,,,,,,57.4,208.5,L,,,,,,62.2,111.4,L,,,,,,46.5,27.4,L,,,,,,53.5,62.6,M,,,,,,60.5,38,L,,,,,,24,38,L,,,,,,86.8,196.1,M,,,,
14.7,24.8,L,,,,,,17.8,185.2,M,,,,,,21.7,84.5,L,,,,,,27,105.5,M,,,,,,33.1,67.8,L,,,,,,61.2,56.6,L,,,,,,76.7,48.8,L,,,,,,19,157.6,L,,,,,,21.8,41.5,L,,,,,,23.3,24.8,M,,,,,,44.2,154.2,L,,,,,,86,13.2,L,,,,,,46.4,37.3,L,,,,,,55.6,14.1,L,,,,,,61.9,2.8,L,,,,,,34.1,31,L,,,,,,57.4,245.7,M,,,,,,62.2,155.2,L,,,,,,46.9,21.5,L,,,,,,53.5,66.1,M,,,,,,60.5,57,L,,,,,,24,118.6,L,,,,,,86.8,234.1,L,,,,
14.7,31.8,M,,,,,,18.6,3.9,L,,,,,,21.7,94.6,L,,,,,,27,126.3,L,,,,,,33.1,87,L,,,,,,61.2,67.4,L,,,,,,76.7,82.2,L,,,,,,19.3,91.7,L,,,,,,21.8,45,L,,,,,,23.3,45,L,,,,,,44.2,208.5,L,,,,,,86,47.3,NC,,,,,,46.8,9.4,L,,,,,,55.6,56.3,L,,,,,,61.9,10.6,S,,,,,,34.1,52.7,L,,,,,,57.4,265.1,M,,,,,,62.2,155.2,L,,,,,,47.1,6.3,L,,,,,,54.2,5.6,M,,,,,,61,23.1,L,,,,,,24,138,M,,,,,,87.6,29.5,L,,,,
14.7,53.5,L,,,,,,18.6,16.3,L,,,,,,21.7,108.5,L,,,,,,27,147.1,L,,,,,,33.1,95.5,L,,,,,,61.2,139.5,L,,,,,,76.7,175.9,M,,,,,,19.3,144.4,M,,,,,,21.8,48.5,L,,,,,,23.3,134.1,L,,,,,,44.7,218.7,L,,,,,,86.8,268.9,L,,,,,,46.8,31.2,L,,,,,,56.3,2.8,M,,,,,,62,13.9,L,,,,,,34.1,58.9,S,,,,,,58.1,38,M,,,,,,62.6,190.8,L,,,,,,47.1,14.8,L,,,,,,54.2,9.1,L,,,,,,61.2,11.3,L,,,,,,24,157.3,L,,,,,,87.6,58.1,L,,,,
14.7,59.5,L,,,,,,18.6,71.3,M,,,,,,21.7,130.2,L,,,,,,27,152.5,M,,,,,,33.1,238,L,,,,,,61.2,198.4,M,,,,,,77.3,237,L,,,,,,19.7,40.1,M,,,,,,21.8,53.5,M,,,,,,23.3,144.9,S,,,,,,45,22.5,L,,,,,,87.6,79.1,M,,,,,,46.9,22.1,M,,,,,,56.3,26.7,L,,,,,,62.6,57.7,M,,,,,,34.1,99.2,L,,,,,,58.1,280.6,L,,,,,,62.6,190.8,L,,,,,,47.1,57.7,M,,,,,,54.2,13.4,L,,,,,,61.2,61.2,L,,,,,,24,207.7,L,,,,,,87.6,123.2,L,,,,
14.7,132.5,L,,,,,,18.6,83.7,L,,,,,,21.7,141.8,L,,,,,,27,174,L,,,,,,33.1,341.9,L,,,,,,61.2,240.3,L,,,,,,77.5,115.5,L,,,,,,19.7,53.5,L,,,,,,21.8,57.7,M,,,,,,23.3,163.5,M,,,,,,45,53.5,L,,,,,,88.4,67.4,L,,,,,,47.1,40.8,L,,,,,,56.3,37.3,M,,,,,,62.6,68.9,M,,,,,,34.1,141.8,L,,,,,,58.9,21.7,M,,,,,,62.6,211.6,L,,,,,,47.8,12,M,,,,,,54.2,26.7,M,,,,,,61.9,7.7,L,,,,,,24.8,3.1,L,,,,,,89.1,78.3,L,,,,
